number;department;section;name;full_name;char;type;doc_diff;status;date_pub;papers
;52;;20380-686.06-525СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Швартовной палубе №3, Шахте приема воздуха КМО №1, Шахте приема воздуха КМО №3, Помещении приема воздуха КМО №1;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380-686.06-527СБ;Установка электрооборудования и прокладка кабелей с их креплениями в аппаратной РТВ №3. Сборочный чертеж;а2;Сборочный чертеж;;;28.01.2021;
;52;;20380.52.25946;Извещение об изменении;;Извещение об изменении;20380-686.05-547СБ,20380-686.05-549СБ,20380-686.06-501СБ,20380-686.06-502СБ,20380-686.06-504СБ;;21.01.2021;А4 - 2
;52;;20380-686.05-547СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Коридоре №9, Коридоре №10;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380-686.05-549СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Каюте офицеров №1, Каюте офицеров №3, Каюте офицеров №5, Каюте офицеров №7, Каюте экипажа ЛАК, Санузле экипажа ЛАК;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380-686.06-501СБ;Установка электрооборудования и прокладка кабелей с их креплениями в тамбуре №25, рубке ГМССБ. Сборочный чертеж;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380-686.06-502СБ;Установка электрооборудования и прокладка кабелей с их креплениями в тамбуре №27 и коридоре №11. Сборочный чертеж;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380-686.06-504СБ;Установка электрооборудования и прокладка кабелей с их креплениями в БП РХР, Агрегатной УТВ;а2;Сборочный чертеж;;;21.01.2021;
;52;;20380.52.25960;Извещение об изменении;;Извещение об изменении;20380-686.07-504СБ,20380-686.07-505СБ,20380-686.07-506СБ;;25.01.2021;А4 - 2
;52;;20380-686.07-504СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №24;а2;Сборочный чертеж;;;25.01.2021;
;52;;20380-686.07-505СБ;Установка электрооборудования и прокладка кабелей с их креплениями в станции ОХТ №3. Сборочный чертеж;а2;Сборочный чертеж;;;25.01.2021;
;52;;20380-686.07-506СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Помещении для сбора твердых отходов;а2;Сборочный чертеж;;;25.01.2021;
;52;;20380.52.26029;Извещение об изменении;;Извещение об изменении;20380-686.05-533СБ,20380-686.05-536,20380-686.05-536СБ,20380-686.05-540СБ,20380-686.05-542СБ;;16.03.2021;А3 - 3
;52;;20380-686.05-533СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Помещении АП №2. Сборочный чертеж;а1;Сборочный чертеж;;;16.03.2021;
;52;;20380-686.05-536;Установка электрооборудования и прокладка кабелей с их креплениями в Барбете 5П-27М;а1;Спецификация;;;16.03.2021;
;52;;20380-686.05-536СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Барбете 5П-27М. Сборочный чертёж;а2;Сборочный чертеж;;;16.03.2021;
;52;;20380-686.05-540СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Санузле офицеров №1;а2;Сборочный чертеж;;;16.03.2021;
;52;;20380-686.05-542СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №29;а1;Сборочный чертеж;;;16.03.2021;
;52;;20380.52.26065;Извещение об изменении;;Извещение об изменении;20380-686.05-505СБ,20380-686.05-508СБ,20380-686.05-512СБ,20380-686.05-513СБ,20380-686.05-514СБ;;11.03.2021;А4 - 2
;52;;20380-686.05-505СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №22, Вентиляторной ПУЗРК, Санузле офицеров №2, Раздевальной офицеров, Душевой офицеров. Сборочный чертёж;а2;Сборочный чертеж;;;11.03.2021;
;52;;20380-686.05-508СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Вентиляторной постов радиосвязи. Сборочный чертеж;а2;Сборочный чертеж;;;11.03.2021;
;52;;20380-686.05-512СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №23, Шахте приема воздуха НМО и ДГО, Помещении костюмов экипажа ЛАК;а2;Сборочный чертеж;;;11.03.2021;
;52;;20380-686.05-513СБ;"Установка электрооборудования и прокладка кабелей с их креплениями в Посту ""Дозор"". Сборочный чертеж";а1;Сборочный чертеж;;;11.03.2021;
;52;;20380-686.05-514СБ;Установка электрооборудования и прокладка кабелей с их креплениями в резервном ПДУ.;а1;Сборочный чертеж;;;11.03.2021;
;52;;20380.52.26109;Извещение об изменении;;Извещение об изменении;20380-686.05-523СБ,20380-686.05-527,20380-686.05-527СБ,20380-686.05-528,20380-686.05-528СБ,20380-686.05-532СБ;;09.04.2021;А4 - 9
;52;;20380-686.05-523СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №31, Помещении приема воздуха НМО и ДГО, Кладовой ЗИП РТВ;а3;Сборочный чертеж;;;09.04.2021;
;52;;20380-686.05-527;Установка электрооборудования и прокладка кабелей с их креплениями в шкафу сигнальщика №1, пом. запаса ПЗРК №1, на наружной стенке 3 я. надстройки 42.5-60 шп., палубе 2 яр. надстройки 43-59.5 шп., фальшборте палубы 2 яр. надстройки 43-60 шп. ПрБ.;а2;Спецификация;;;09.04.2021;
;52;;20380-686.05-527СБ;Установка электрооборудования и прокладка кабелей с их креплениями в шкафу сигнальщика №1, пом. запаса ПЗРК №1, на наружной стенке 3 я. надстройки 42.5-60 шп., палубе 2 яр. надстройки 43-59.5 шп., фальшборте палубы 2 яр. надстройки 43-60 шп. ПрБ. Сборочны;а2;Сборочный чертеж;;;09.04.2021;
;52;;20380-686.05-528;Установка электрооборудования и прокладка кабелей с их креплениями в шкафу сигнальщика №2, пом. запаса ПЗРК №2, на наружной стенке 3 я. надстройки 42.5-60 шп., палубе 2 яр. надстройки 43-59.5 шп., фальшборте палубы 2 яр. надстройки 43-60 шп. ЛБ.;а2;Спецификация;;;09.04.2021;
;52;;20380-686.05-528СБ;Установка электрооборудования и прокладка кабелей с их креплениями в шкафу сигнальщика №2, пом. запаса ПЗРК №2, на наружной стенке 3 я. надстройки 42.5-60 шп., палубе 2 яр. надстройки 43-59.5 шп., фальшборте палубы 2 яр. надстройки 43-60 шп. ЛБ.;а2;Сборочный чертеж;;;09.04.2021;
;52;;20380-686.05-532СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Помещении АП №1. Сборочный чертеж;а3;Сборочный чертеж;;;09.04.2021;
;52;;20380.52.26166;Извещение об изменении;;Извещение об изменении;20380-686.06-523,20380-686.06-523ВК,20380-686.06-523СБ;;08.04.2021;А4 - 5
;52;;20380-686.06-523;Установка электрооборудования и прокладка кабелей с их креплениями на наружн.поверхностях ангара и помещ. газоходов №2.;а2;Спецификация;;;08.04.2021;
;52;;20380-686.06-523ВК;Установка электрооборудования и прокладка кабелей с их креплениями на наружн.поверхностях ангара и помещ. газоходов №2. Кабельный журнал;а1;Кабельный журнал;;;08.04.2021;
;52;;20380-686.06-523СБ;Установка электрооборудования и прокладка кабелей с их креплениями на наружн.поверхностях ангара и помещ. газоходов №2.;а3;Сборочный чертеж;;;08.04.2021;
;52;;20380.52.26170;Извещение об изменении;;Извещение об изменении;20380-686.04-517,20380-686.04-517СБ,20380-686.04-518СБ,20380-686.04-519СБ,20380-686.04-520СБ,20380-686.04-522СБ;;22.04.2021;А4 - 4
;52;;20380-686.04-517;Установка электрооборудования и прокладка кабелей с их креплениямми в Помещении запаса ЛАК.;а1;Спецификация;;;22.04.2021;
;52;;20380-686.04-517СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Помещении запаса ЛАК. Сборочный чертеж;а2;Сборочный чертеж;;;22.04.2021;
;52;;20380-686.04-518СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Душевой команды №2 , Раздевальной команды , Тамбуре №17 , Кладовой дезинфекционныз средств, Тамбур-шлюзе №1. Сборочный чертеж;а2;Сборочный чертеж;;;22.04.2021;
;52;;20380-686.04-519СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Тамбуре №19, Помещении буев. Сборочный чертеж;а2;Сборочный чертеж;;;22.04.2021;
;52;;20380-686.04-520СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №20, Помещении ОМАБ-Н. Сборочный чертеж;а2;Сборочный чертеж;;;22.04.2021;
;52;;20380-686.04-522СБ;Установка электрооборудования и прокладка кабелей с их креплениямми в Выгородке щитов, Агрегатной ЛАК. Сборочный чертеж;а2;Сборочный чертеж;;;22.04.2021;
;52;;20380.52.26178;Извещение об изменении;;Извещение об изменении;20380-686.05-546,20380-686.05-546ВК,20380-686.05-546СБ;;09.04.2021;А4 - 5
;52;;20380-686.05-546;Установка электрооборудования и прокладка кабелей с их креплениями в ходовой рубке-ГКП и штурманской рубке;а4;Спецификация;;;09.04.2021;
;52;;20380-686.05-546ВК;Установка электрооборудования и прокладка кабелей с их креплениями в ходовой рубке-ГКП и штурманской рубке;а3;Кабельный журнал;;;09.04.2021;
;52;;20380-686.05-546СБ;Установка электрооборудования и прокладка кабелей с их креплениями в ходовой рубке-ГКП и штурманской рубке;а4;Сборочный чертеж;;;09.04.2021;
